DEBUG   2019-01-14 15:05:27,993 [main] org.jboss.logging  - Logging Provider: org.jboss.logging.Log4jLoggerProvider
DEBUG   2019-01-14 15:05:28,004 [main] org.hibernate.integrator.internal.IntegratorServiceImpl  - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
DEBUG   2019-01-14 15:05:28,006 [main] org.hibernate.integrator.internal.IntegratorServiceImpl  - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
DEBUG   2019-01-14 15:05:28,017 [main] org.hibernate.integrator.internal.IntegratorServiceImpl  - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
INFO    2019-01-14 15:05:28,160 [main] org.hibernate.Version  - HHH000412: Hibernate Core {5.3.7.Final}
INFO    2019-01-14 15:05:28,168 [main] org.hibernate.cfg.Environment  - HHH000206: hibernate.properties not found
DEBUG   2019-01-14 15:05:28,328 [main] org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver  - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
DEBUG   2019-01-14 15:05:28,328 [main] org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver  - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
DEBUG   2019-01-14 15:05:28,332 [main] org.hibernate.boot.cfgxml.internal.JaxbCfgProcessor  - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
DEBUG   2019-01-14 15:05:28,685 [main] org.hibernate.cfg.Configuration  - Building session factory using internal StandardServiceRegistryBuilder
DEBUG   2019-01-14 15:05:28,691 [main] org.hibernate.service.spi.ServiceBinding  - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
DEBUG   2019-01-14 15:05:28,691 [main] org.hibernate.cfg.Configuration  - Building session factory using provided StandardServiceRegistry
DEBUG   2019-01-14 15:05:28,706 [main] org.hibernate.cache.internal.RegionFactoryInitiator  - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
DEBUG   2019-01-14 15:05:28,707 [main] org.hibernate.cache.internal.RegionFactoryInitiator  - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
INFO    2019-01-14 15:05:28,728 [main] org.hibernate.annotations.common.Version  - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
DEBUG   2019-01-14 15:05:29,028 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration boolean -> org.hibernate.type.BooleanType@402bba4f
DEBUG   2019-01-14 15:05:29,029 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration boolean -> org.hibernate.type.BooleanType@402bba4f
DEBUG   2019-01-14 15:05:29,030 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@402bba4f
DEBUG   2019-01-14 15:05:29,031 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@f5ac9e4
DEBUG   2019-01-14 15:05:29,033 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration true_false -> org.hibernate.type.TrueFalseType@384ad17b
DEBUG   2019-01-14 15:05:29,034 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration yes_no -> org.hibernate.type.YesNoType@7334aada
DEBUG   2019-01-14 15:05:29,035 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration byte -> org.hibernate.type.ByteType@52e6fdee
DEBUG   2019-01-14 15:05:29,036 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration byte -> org.hibernate.type.ByteType@52e6fdee
DEBUG   2019-01-14 15:05:29,037 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@52e6fdee
DEBUG   2019-01-14 15:05:29,038 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration character -> org.hibernate.type.CharacterType@15ff3e9e
DEBUG   2019-01-14 15:05:29,038 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration char -> org.hibernate.type.CharacterType@15ff3e9e
DEBUG   2019-01-14 15:05:29,038 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@15ff3e9e
DEBUG   2019-01-14 15:05:29,040 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration short -> org.hibernate.type.ShortType@8dbdac1
DEBUG   2019-01-14 15:05:29,041 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration short -> org.hibernate.type.ShortType@8dbdac1
DEBUG   2019-01-14 15:05:29,041 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@8dbdac1
DEBUG   2019-01-14 15:05:29,042 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration integer -> org.hibernate.type.IntegerType@158da8e
DEBUG   2019-01-14 15:05:29,044 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration int -> org.hibernate.type.IntegerType@158da8e
DEBUG   2019-01-14 15:05:29,046 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@158da8e
DEBUG   2019-01-14 15:05:29,050 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration long -> org.hibernate.type.LongType@661972b0
DEBUG   2019-01-14 15:05:29,050 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration long -> org.hibernate.type.LongType@661972b0
DEBUG   2019-01-14 15:05:29,051 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Long -> org.hibernate.type.LongType@661972b0
DEBUG   2019-01-14 15:05:29,056 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration float -> org.hibernate.type.FloatType@2e005c4b
DEBUG   2019-01-14 15:05:29,056 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration float -> org.hibernate.type.FloatType@2e005c4b
DEBUG   2019-01-14 15:05:29,056 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2e005c4b
DEBUG   2019-01-14 15:05:29,058 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration double -> org.hibernate.type.DoubleType@359f7cdf
DEBUG   2019-01-14 15:05:29,058 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration double -> org.hibernate.type.DoubleType@359f7cdf
DEBUG   2019-01-14 15:05:29,058 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@359f7cdf
DEBUG   2019-01-14 15:05:29,059 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6b927fb
DEBUG   2019-01-14 15:05:29,059 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6b927fb
DEBUG   2019-01-14 15:05:29,064 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7b9a4292
DEBUG   2019-01-14 15:05:29,064 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7b9a4292
DEBUG   2019-01-14 15:05:29,068 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration string -> org.hibernate.type.StringType@67d48005
DEBUG   2019-01-14 15:05:29,068 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.String -> org.hibernate.type.StringType@67d48005
DEBUG   2019-01-14 15:05:29,069 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@1aa7ecca
DEBUG   2019-01-14 15:05:29,072 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7ec7ffd3
DEBUG   2019-01-14 15:05:29,075 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration url -> org.hibernate.type.UrlType@6d763516
DEBUG   2019-01-14 15:05:29,075 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6d763516
DEBUG   2019-01-14 15:05:29,077 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration Duration -> org.hibernate.type.DurationType@245b4bdc
DEBUG   2019-01-14 15:05:29,081 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@245b4bdc
DEBUG   2019-01-14 15:05:29,125 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration Instant -> org.hibernate.type.InstantType@10e31a9a
DEBUG   2019-01-14 15:05:29,125 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@10e31a9a
DEBUG   2019-01-14 15:05:29,127 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@57a3af25
DEBUG   2019-01-14 15:05:29,127 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@57a3af25
DEBUG   2019-01-14 15:05:29,129 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@c8c12ac
DEBUG   2019-01-14 15:05:29,129 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@c8c12ac
DEBUG   2019-01-14 15:05:29,130 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@49139829
DEBUG   2019-01-14 15:05:29,130 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@49139829
DEBUG   2019-01-14 15:05:29,131 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@59662a0b
DEBUG   2019-01-14 15:05:29,132 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@59662a0b
DEBUG   2019-01-14 15:05:29,133 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@5b8dfcc1
DEBUG   2019-01-14 15:05:29,133 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@5b8dfcc1
DEBUG   2019-01-14 15:05:29,136 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@409bf450
DEBUG   2019-01-14 15:05:29,136 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@409bf450
DEBUG   2019-01-14 15:05:29,138 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration date -> org.hibernate.type.DateType@689604d9
DEBUG   2019-01-14 15:05:29,138 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.sql.Date -> org.hibernate.type.DateType@689604d9
DEBUG   2019-01-14 15:05:29,140 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration time -> org.hibernate.type.TimeType@3023df74
DEBUG   2019-01-14 15:05:29,140 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@3023df74
DEBUG   2019-01-14 15:05:29,142 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration timestamp -> org.hibernate.type.TimestampType@6302bbb1
DEBUG   2019-01-14 15:05:29,142 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@6302bbb1
DEBUG   2019-01-14 15:05:29,142 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@6302bbb1
DEBUG   2019-01-14 15:05:29,144 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@2a4fb17b
DEBUG   2019-01-14 15:05:29,146 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration calendar -> org.hibernate.type.CalendarType@7cc0cdad
DEBUG   2019-01-14 15:05:29,146 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@7cc0cdad
DEBUG   2019-01-14 15:05:29,146 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@7cc0cdad
DEBUG   2019-01-14 15:05:29,147 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@368f2016
DEBUG   2019-01-14 15:05:29,148 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration locale -> org.hibernate.type.LocaleType@a1153bc
DEBUG   2019-01-14 15:05:29,148 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@a1153bc
DEBUG   2019-01-14 15:05:29,149 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration currency -> org.hibernate.type.CurrencyType@3270d194
DEBUG   2019-01-14 15:05:29,149 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3270d194
DEBUG   2019-01-14 15:05:29,150 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration timezone -> org.hibernate.type.TimeZoneType@14cd1699
DEBUG   2019-01-14 15:05:29,150 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@14cd1699
DEBUG   2019-01-14 15:05:29,152 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration class -> org.hibernate.type.ClassType@4802796d
DEBUG   2019-01-14 15:05:29,152 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@4802796d
DEBUG   2019-01-14 15:05:29,153 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@1bb5a082
DEBUG   2019-01-14 15:05:29,153 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@1bb5a082
DEBUG   2019-01-14 15:05:29,154 [main] org.hibernate.type.BasicTypeRegistry  - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@3590fc5b
